customer_id,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Preferred_Sales_Channel,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,club_member_status,fashion_news_frequency,age
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,504,2,2,0.1016610169491524,0.0508305084745762,2,112.0,1,2,0.0508305084745762,0.02396972139615418,0.0338983050847458,ACTIVE,NONE,25.0
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,299,3,3,0.06571186440677951,0.021903954802259835,3,124.66666666666667,3,2,0.032855932203389754,0.011972875837378997,-0.0169322033898305,ACTIVE,Regularly,56.0
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,238,2,2,0.0628983050847456,0.0314491525423728,2,62.5,1,2,0.0314491525423728,0.003439655020348112,-0.004864406779661004,ACTIVE,NONE,48.0
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,31,5,5,0.1609322033898302,0.03218644067796604,5,128.8,5,2,0.040233050847457555,0.03695699231347148,0.026944067796610162,ACTIVE,Regularly,44.0
00023e3dd8618bc63ccad995a5ac62e21177338d642d66b42e0038c6b10f655a,96,3,3,0.08299999999999991,0.027666666666666635,3,101.66666666666667,1,2,0.027666666666666635,0.012721277117737507,-0.005932203389830501,ACTIVE,NONE,24.0
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,511,2,2,0.0677627118644067,0.03388135593220335,2,9.0,1,2,0.0677627118644067,0.0,0.0,ACTIVE,Regularly,55.0
0002d2ef78ec29c03a951963a2694be963c06d7123b9726e4bde96e828d770f6,176,2,2,0.093186440677966,0.046593220338983,2,66.5,0,2,0.046593220338983,0.0059924303490385125,0.008474576271186404,ACTIVE,NONE,48.0
00045027219e894b683fb4687211e2d0c904c268e9f28d370d9a84994678ac71,127,4,4,0.0592542372881355,0.014813559322033876,4,140.0,0,2,0.014813559322033876,0.0025423728813559507,0.0018644067796610303,ACTIVE,NONE,20.0
0004f079e5f7fbf106301d8c32278e71a96adde0a9e3328d2fc01309796ebc4b,403,2,2,0.051389830508474496,0.025694915254237248,2,49.5,3,2,0.025694915254237248,0.005201429542965502,0.007355932203389901,ACTIVE,NONE,24.0
0006bb0fad5c49341bd9cece264271e68e01a4e55f22ec9efffc43b0b3bdbc34,290,2,2,0.0762372881355931,0.03811864406779655,2,205.5,0,1,0.03811864406779655,0.005992430349038578,-0.008474576271186494,ACTIVE,NONE,49.0
0006d1fc72f81261e70e74249ab2c348e21a093ba40f2af6e90f4337a9736af2,81,2,2,0.0423389830508474,0.0211694915254237,2,132.5,4,2,0.0211694915254237,0.005992430349038507,-0.008474576271186397,ACTIVE,NONE,20.0
0006d3ff0caf0cb4d4e0615ee5cb7d268622364d483335bf21fbf296e785e282,597,2,2,0.16945762711864393,0.08472881355932196,2,50.0,4,2,0.08472881355932196,0.07190916418846248,-0.10169491525423731,ACTIVE,NONE,36.0
00077dbd5c4a4991e092e63893ccf29294a9d5c46e85010e95f2fc10bf9437a4,76,3,3,0.091915254237288,0.030638418079095998,3,34.0,2,2,0.030638418079095998,0.009061463546942268,-0.00784745762711865,ACTIVE,NONE,23.0
0008d30a148478dc88c69af6c51230ad5802590afc84889af16b661e64407408,60,7,7,0.2422542372881352,0.034607748184019314,7,91.28571428571429,2,2,0.034607748184019314,0.026849960343478523,-0.006779661016949153,ACTIVE,NONE,35.0
000934651054f08396856cd83fad3b36b97ab95a0baf79cf86769e92bf3fef40,259,3,3,0.08130508474576259,0.027101694915254198,3,47.666666666666664,1,1,0.027101694915254198,0.0029356793348625262,0.002542372881355951,ACTIVE,NONE,56.0
000989f72a2b8e5da2f4abafc86c2e213816fa2ff2a060ccf17ba290e00c5d85,279,2,2,0.0830169491525423,0.04150847457627115,2,51.5,2,2,0.04150847457627115,0.03715306816403891,0.0525423728813559,ACTIVE,NONE,30.0
000a74a8ce6e616c1d26d186d8ffae487878b89223b60f5d369665e367faa677,120,4,5,0.1617457627118642,0.04043644067796605,5,116.0,0,1,0.04043644067796605,0.015487861791566108,-0.009245762711864402,ACTIVE,NONE,33.0
000c5c714aefd0d5ed1205e2781070167826ffc117ab9ec579b9f3851392dfad,193,2,2,0.0372542372881355,0.01862711864406775,2,102.0,3,2,0.01862711864406775,0.002396972139615359,-0.0033898305084744985,ACTIVE,Regularly,23.0
000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,51,2,2,0.038355932203389696,0.019177966101694848,2,122.0,0,2,0.019177966101694848,0.008808872613086672,-0.012457627118644099,ACTIVE,NONE,24.0
000ed4cabda96069b547ae531c66de5f1bf6a7e5b83aa8ecc5abe84a9f6779e0,238,2,2,0.0416271186440677,0.02081355932203385,2,115.5,1,2,0.02081355932203385,0.017473926897796404,-0.0247118644067797,ACTIVE,NONE,27.0
000fab9caf56e8060680e5fd82d709ade7496318832201353526ad6ea47a12ff,20,3,3,0.0858135593220338,0.028604519774011267,3,141.66666666666666,1,2,0.028604519774011267,0.01761303489953152,-0.0173135593220339,ACTIVE,NONE,37.0
000fb6e772c5d0023892065e659963da90b1866035558ec16fca51b0dcfb7e59,12,9,9,0.2606271186440674,0.02895856873822971,9,74.44444444444444,1,2,0.032578389830508425,0.018838823072867265,-0.0031515334947538405,ACTIVE,Regularly,42.0
00126ffd9cf7c76d817fa0df133eac875e103f767504bae6d9ce29c50c4ed1ba,462,2,2,0.0622711864406779,0.03113559322033895,2,5.5,1,2,0.0622711864406779,0.0,0.0,ACTIVE,NONE,64.0
0015251a0dcebac75714f68f50a9a282731dc2c8269f7a20cfa81e144fb27551,440,3,3,0.06944067796610161,0.023146892655367204,3,84.33333333333333,1,2,0.023146892655367204,0.019862594159601094,-0.0186440677966102,ACTIVE,Regularly,48.0
